#{"t_start": 1707951265.1999075, "env_id": "None"}
r,l,t
-43.00967,490,592.963886
-43.00967,490,592.963902
-43.00967,490,592.963917
-43.00967,490,592.963932
-43.00967,490,592.963947
-43.00967,490,592.963963
-43.00967,490,592.963978
-43.00967,490,592.963993
-43.00967,490,592.964008
-43.00967,490,592.964024
-43.00967,490,592.964039
-43.00967,490,592.964054
-43.00967,490,592.964075
-43.00967,490,740.657004
-43.00967,490,740.6571
-43.00967,490,740.657116
-43.00967,490,740.65713
-43.00967,490,740.657141
-43.00967,490,740.657153
-43.00967,490,740.657164
-43.00967,490,740.657175
-43.00967,490,740.657186
-43.00967,490,740.657197
-43.00967,490,740.657208
-43.00967,490,740.657219
-43.00967,490,740.65723
-43.00967,490,740.657242
-43.00967,490,740.657253
-43.00967,490,740.657264
-43.00967,490,740.657274
-43.00967,490,740.657285
-43.00967,490,740.657296
-43.00967,490,740.657306
-43.00967,490,740.657318
-43.00967,490,740.657329
-43.00967,490,740.657339
-43.00967,490,740.65735
-43.00967,490,740.657361
-43.00967,490,740.657372
-43.00967,490,740.657383
-43.00967,490,740.657393
-43.00967,490,740.657404
-43.00967,490,740.657414
-43.00967,490,740.657425
-43.00967,490,740.657438
-43.00967,490,740.657449
-43.00967,490,740.65746
-43.00967,490,740.65747
-43.00967,490,740.657481
-43.00967,490,740.657491
-43.00967,490,740.657502
-43.00967,490,740.657512
-43.00967,490,740.657525
-43.00967,490,740.657535
-43.00967,490,740.657546
-43.00967,490,740.657556
-43.00967,490,740.657567
-43.00967,490,740.657577
-43.00967,490,740.657588
-43.00967,490,740.657599
-43.00967,490,740.657609
-43.00967,490,740.65762
-43.00967,490,740.65763
-43.00967,490,740.657641
-43.00967,490,740.657652
-43.00967,490,740.657662
-43.00967,490,740.657674
-43.00967,490,740.657684
-43.00967,490,740.657694
-43.00967,490,740.657705
-43.00967,490,740.657731
-43.00967,490,740.657744
-43.00967,490,740.657755
-43.00967,490,740.657765
-43.00967,490,740.657776
-43.00967,490,740.657786
-43.00967,490,740.657796
-43.00967,490,888.419136
-43.00967,490,888.419225
-43.00967,490,888.419241
-43.00967,490,888.419254
-43.00967,490,888.419265
-43.00967,490,888.419276
-43.00967,490,888.419286
-43.00967,490,888.419297
-43.00967,490,888.419308
-43.00967,490,888.41932
-43.00967,490,888.419331
-43.00967,490,888.419342
-43.00967,490,888.419353
-43.00967,490,888.419364
-43.00967,490,888.419375
-43.00967,490,888.419388
-43.00967,490,888.419399
-43.00967,490,888.419411
-43.00967,490,888.419421
-43.00967,490,888.419432
-43.00967,490,888.419444
-43.00967,490,888.419454
-43.00967,490,888.419465
-43.00967,490,888.419477
-43.00967,490,888.419488
-43.00967,490,888.419498
-43.00967,490,888.41951
-43.00967,490,888.41952
-43.00967,490,888.419531
-43.00967,490,888.419541
-43.00967,490,888.419552
-43.00967,490,888.419563
-43.00967,490,888.419574
-43.00967,490,888.419585
-43.00967,490,888.419595
-43.00967,490,888.419606
-43.00967,490,888.419617
-43.00967,490,888.419628
-43.00967,490,888.419639
-43.00967,490,888.41965
-43.00967,490,888.419661
-43.00967,490,888.419672
-43.00967,490,888.419682
-43.00967,490,888.419694
-43.00967,490,888.419704
-43.00967,490,888.419715
-43.00967,490,888.419726
-43.00967,490,888.419736
-43.00967,490,888.419748
-43.00967,490,888.419758
-43.00967,490,888.419769
-43.00967,490,888.41978
-43.00967,490,888.41979
-43.00967,490,888.4198
-43.00967,490,888.419811
-43.00967,490,888.419824
-43.00967,490,888.419834
-43.00967,490,888.419845
-43.00967,490,888.419855
-43.00967,490,888.419865
-43.00967,490,888.419876
-43.00967,490,888.419886
-43.00967,490,888.419898
-43.00967,490,888.419909
-43.00967,490,1036.255725
-43.00967,490,1036.25582
-43.00967,490,1036.255837
-43.00967,490,1036.255851
-43.00967,490,1036.255863
-43.00967,490,1036.255875
-43.00967,490,1036.255886
-43.00967,490,1036.255898
-43.00967,490,1036.255909
-43.00967,490,1036.255921
